painting_name,author_name,Genre,Style,Theme,Period,Path,Field,Date
The Vision Of Joan Of Arc 1847,Gustaf Wappers,"portrait,history painting",Romanticism,History,Antwerp (1822–1853),Artists2/Gustaf Wappers/The Vision Of Joan Of Arc 1847.jpg,painting, c.;  Belgium 
The Defence Of Rhodes By The Knights Of St John Of Jerusalem 1844,Gustaf Wappers,"portrait,history painting",Romanticism,History,Antwerp (1822–1853),Artists2/Gustaf Wappers/The Defence Of Rhodes By The Knights Of St John Of Jerusalem 1844.jpg,painting,1844
Episode Of The September Days 1830 On The Grand Place Of Brussels 1835,Gustaf Wappers,"portrait,history painting",Romanticism,History,Antwerp (1822–1853),Artists2/Gustaf Wappers/Episode Of The September Days 1830 On The Grand Place Of Brussels 1835.jpg,painting, ;  Belgium 
Self Sacrifice Of Mayor Van Der Werff 1829,Gustaf Wappers,"portrait,history painting",Romanticism,History,Antwerp (1822–1853),Artists2/Gustaf Wappers/Self Sacrifice Of Mayor Van Der Werff 1829.jpg,painting,1829
No Title Nr 5 028 1993,Fons Heijnsbroek,abstract,"Abstract Expressionism,Abstract Art",Abstract Expressionism,1989 - 1992: abstract landscape painting,Artists2/Fons Heijnsbroek/No Title Nr 5 028 1993.jpg,painting, ;  Netherlands 
No Title Nr 5 038 1993,Fons Heijnsbroek,abstract,"Abstract Art,Abstract Expressionism",Abstract Expressionism,1989 - 1992: abstract landscape painting,Artists2/Fons Heijnsbroek/No Title Nr 5 038 1993.jpg,painting,c.1993
Blue Valley Nr 5 024 1992,Fons Heijnsbroek,abstract,"Abstract Art,Abstract Expressionism",Abstract Expressionism,"1987 - 1989: figurative, symbolic painting",Artists2/Fons Heijnsbroek/Blue Valley Nr 5 024 1992.jpg,painting,1992
No Title Nr 5 014 1993,Fons Heijnsbroek,abstract,"Abstract Art,Abstract Expressionism",Abstract Expressionism,"1987 - 1989: figurative, symbolic painting",Artists2/Fons Heijnsbroek/No Title Nr 5 014 1993.jpg,painting, ;  Netherlands 
Eye Of The Storm Seachange Xv 1977,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Eye Of The Storm Seachange Xv 1977.jpg,painting,1977
Ebb Tide 1975,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Ebb Tide 1975.jpg,painting,1975
Untitled 1966,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Untitled 1966.jpg,painting,1966
Evening Rendezvous 1962,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Evening Rendezvous 1962.jpg,painting,1962
The Gremlins 1961,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/The Gremlins 1961.jpg,painting,1961
The Gremlins 1961 0,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/The Gremlins 1961 0.jpg,painting,1961
Night Walk 2 1956,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Night Walk 2 1956.jpg,painting,1956
Harlem Courtyard 1954,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Harlem Courtyard 1954.jpg,painting,1954
Miagrating Birds 1953,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Miagrating Birds 1953.jpg,painting,1953
Industrial Night 1952,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Industrial Night 1952.jpg,painting,1952
Green Mist 1948,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/Green Mist 1948.jpg,painting,1948
The Tenement 1948,Norman Lewis,abstract,Abstract Expressionism,Abstraction,Abstraction Expressionism,Artists2/Norman Lewis/The Tenement 1948.jpg,painting,1948
Untitled Police Beating 1943,Norman Lewis,abstract,Figurative Expressionism,The Negro Experience,Harlem Renaissance,Artists2/Norman Lewis/Untitled Police Beating 1943.jpg,painting, ;  United States 
Meeting Place 1941,Norman Lewis,abstract,Figurative Expressionism,The Negro Experience,Harlem Renaissance,Artists2/Norman Lewis/Meeting Place 1941.jpg,painting, ;  United States 
Umbrella 1938,Norman Lewis,abstract,Figurative Expressionism,The Negro Experience,Harlem Renaissance,Artists2/Norman Lewis/Umbrella 1938.jpg,painting, ;  United States 
Girl With Yellow Hat 1936,Norman Lewis,abstract,Figurative Expressionism,The Negro Experience,Harlem Renaissance,Artists2/Norman Lewis/Girl With Yellow Hat 1936.jpg,painting,1936
Dan Mask 1935,Norman Lewis,abstract,Figurative Expressionism,African Art,Harlem Renaissance,Artists2/Norman Lewis/Dan Mask 1935.jpg,painting, ;  United States 
Carved Bobbin Guru 1935,Norman Lewis,abstract,Figurative Expressionism,African Art,Harlem Renaissance,Artists2/Norman Lewis/Carved Bobbin Guru 1935.jpg,painting, ;  United States 
Baule Mask 1935,Norman Lewis,abstract,Figurative Expressionism,African Art,Harlem Renaissance,Artists2/Norman Lewis/Baule Mask 1935.jpg,painting, ;  United States 
The Wanderer Johnny 1933,Norman Lewis,abstract,Figurative Expressionism,The Negro Experience,Harlem Renaissance,Artists2/Norman Lewis/The Wanderer Johnny 1933.jpg,painting,1933
Cow 1926,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Cow 1926.jpg,painting,1926
Red Horse And Green Sulky 1926,Alexander Calder,sculpture,Expressionism,Toys,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Red Horse And Green Sulky 1926.jpg,painting,1926
Josephine Baker I 1926,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Josephine Baker I 1926.jpg,painting,1926
Duck And Snake 1926,Alexander Calder,sculpture,Expressionism,Toys,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Duck And Snake 1926.jpg,painting,1926
Singe 1926,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Singe 1926.jpg,painting,1926
Todd Shipyard 1925,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Todd Shipyard 1925.jpg,painting,1925
The Flying Trapeze 1925,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/The Flying Trapeze 1925.jpg,painting,1925
Red Panel 1936,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Red Panel 1936.jpg,painting,1936
Untitled 1935,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1935.jpg,painting,1935
Belt 1935,Alexander Calder,sculpture,Expressionism,Jewelry,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Belt 1935.jpg,painting,c.1935
Diana 1934,Alexander Calder,sculpture,"Abstract Art,Surrealism",Carved Figures,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Diana 1934.jpg,painting,1934
A Universe 1934,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/A Universe 1934.jpg,painting,1934
Steel Fish 1934,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Steel Fish 1934.jpg,painting,1934
Mobile 1934,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Mobile 1934.jpg,painting,1934
Untitled 1934,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1934.jpg,painting,1934
Red And Yellow Vane 1934,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Red And Yellow Vane 1934.jpg,painting,1934
Caged Crockery 1945,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Caged Crockery 1945.jpg,painting,1945
Fish 1945,Alexander Calder,sculpture,Expressionism,Wire Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fish 1945.jpg,painting,c.1945
Serving Spoon 1945,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Serving Spoon 1945.jpg,painting,1945
Odalisque 1945,Alexander Calder,sculpture,Expressionism,Oil Painting,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Odalisque 1945.jpg,painting,1945
Fish 1944,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fish 1944.jpg,painting,1944
Chess Set 1944,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Chess Set 1944.jpg,painting,c.1944
Constellation 1944,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Constellation 1944.jpg,painting,1944
Man 1967,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Man 1967.jpg,painting,1967
Trois Pics 1967,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Trois Pics 1967.jpg,painting,1967
Four Planes Escarpe 1967,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Four Planes Escarpe 1967.jpg,painting,1967
Stainless Stealer 1966,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Stainless Stealer 1966.jpg,painting,1966
Two Discs 1965,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Two Discs 1965.jpg,painting,1965
Pyramids 1975,Alexander Calder,sculpture,Abstract Art,Graphic Works,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Pyramids 1975.jpg,painting,1975
125 1975,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/125 1975.jpg,painting,1975
The Arch 1975,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/The Arch 1975.jpg,painting,1975
Art Car 1975,Alexander Calder,sculpture,Abstract Expressionism,Unusual Projects,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Art Car 1975.jpg,painting,1975
Critter With Mobile Top 1974,Alexander Calder,sculpture,Kinetic Art,Stabile,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Critter With Mobile Top 1974.jpg,painting,1974
Black Flag 1974,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Black Flag 1974.jpg,painting,1974
Cheval Rouge 1974,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Cheval Rouge 1974.jpg,painting,1974
Tripes 1974,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Tripes 1974.jpg,painting,1974
Horizontal 1974,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Horizontal 1974.jpg,painting,1974
Toms 1974,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Toms 1974.jpg,painting,1974
Flamingo 1973,Alexander Calder,sculpture,"Abstract Art,Surrealism",Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Flamingo 1973.jpg,painting,1973
Flying Colors 1973,Alexander Calder,sculpture,Abstract Expressionism,Unusual Projects,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Flying Colors 1973.jpg,painting,1973
Maquette For Flamingo 1972,Alexander Calder,sculpture,Abstract Expressionism,Stabile,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Maquette For Flamingo 1972.jpg,painting,1972
Three Bollards 1970,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Three Bollards 1970.jpg,painting,1970
Pryamids And Clouds 1970,Alexander Calder,sculpture,Abstract Art,Graphic Works,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Pryamids And Clouds 1970.jpg,painting,1970
Sidewalk 1970,Alexander Calder,sculpture,Environmental (Land) Art,Unusual Projects,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Sidewalk 1970.jpg,painting,1970
La Grande Vitesse 1969,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/La Grande Vitesse 1969.jpg,painting,1969
El Sol Rojo 1968,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/El Sol Rojo 1968.jpg,painting,1968
Self Portrait 1968,Alexander Calder,sculpture,Expressionism,Wire Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Self Portrait 1968.jpg,painting,1968
The X And Its Tails 1967,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/The X And Its Tails 1967.jpg,painting,1967
La Grande Voile The Big Sail 1965,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/La Grande Voile The Big Sail 1965.jpg,painting,1965
Polygons On Triangles 1963,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Polygons On Triangles 1963.jpg,painting,1963
Le Guichet 1963,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Le Guichet 1963.jpg,painting,1963
Southern Cross 1963,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Southern Cross 1963.jpg,painting,1963
Southern Cross Maquette 1963,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Southern Cross Maquette 1963.jpg,painting,1963
Sabot 1963,Alexander Calder,sculpture,Abstract Expressionism,Monumental Sculpture,MONUMENTAL WORKS: 1963–1976,Artists2/Alexander Calder/Sabot 1963.jpg,painting,1963
Teodelapio 1962,Alexander Calder,sculpture,"Surrealism,Abstract Art",Monumental Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Teodelapio 1962.jpg,painting,1962
Teodelapio Maquette Ii 1962,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Teodelapio Maquette Ii 1962.jpg,painting,1962
The Y 1960,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/The Y 1960.jpg,painting,1960
The Star 1960,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/The Star 1960.jpg,painting,1960
Puppet Man 1960,Alexander Calder,sculpture,Abstract Art,Graphic Works,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Puppet Man 1960.jpg,painting,1960
Fish Pull Toy 1960,Alexander Calder,sculpture,Expressionism,Toys,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Fish Pull Toy 1960.jpg,painting,1960
Spirale 1958,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Spirale 1958.jpg,painting,1958
Red Lily Pads N Nuphars Rouges 1956,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Lily Pads N Nuphars Rouges 1956.jpg,painting,1956
Red Mobile 1956,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Mobile 1956.jpg,painting,1956
Red Cascade 1954,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Red Cascade 1954.jpg,painting,1954
Acoustic Ceiling 1954,Alexander Calder,sculpture,Kinetic Art,Monumental Sculpture,LARGE-SCALE DEVELOPMENTS AND INTERCONTINENTAL COMMISSIONS: 1953–1962,Artists2/Alexander Calder/Acoustic Ceiling 1954.jpg,painting,1954
Pomegranate 1949,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Pomegranate 1949.jpg,painting,1949
Miro Tamayo And Jeanneret 1949,Alexander Calder,sculpture,Expressionism,Oil Painting,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Miro Tamayo And Jeanneret 1949.jpg,painting,1949
Snow Flurry 1948,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Snow Flurry 1948.jpg,painting,1948
Finny Fish 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Finny Fish 1948.jpg,painting,1948
Blue Feather 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Blue Feather 1948.jpg,painting,1948
Rattle 1948,Alexander Calder,sculpture,Expressionism,Household Objects,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Rattle 1948.jpg,painting,c.1948
Louisas 43Rd Birthday Present 1948,Alexander Calder,sculpture,Kinetic Art,Toys,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Louisas 43Rd Birthday Present 1948.jpg,painting,1948
Triple Gong 1948,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Triple Gong 1948.jpg,painting,c.1948
Aspen 1948,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Aspen 1948.jpg,painting,1948
1 Red 4 Black Plus X White 1947,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/1 Red 4 Black Plus X White 1947.jpg,painting,1947
Much Pierced 1947,Alexander Calder,sculpture,Expressionism,Stabile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Much Pierced 1947.jpg,painting,1947
Parasite 1947,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Parasite 1947.jpg,painting,1947
Silver Bed Head 1946,Alexander Calder,sculpture,Kinetic Art,Wire Sculpture,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Silver Bed Head 1946.jpg,painting,1946
Earrings 1946,Alexander Calder,sculpture,Expressionism,Jewelry,INTERNATIONAL DISTINCTION: 1946–1952,Artists2/Alexander Calder/Earrings 1946.jpg,painting,1946
Fetishes 1944,Alexander Calder,sculpture,"Surrealism,Abstract Art",Oil Painting,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fetishes 1944.jpg,painting,1944
Upstanding T 1944,Alexander Calder,sculpture,"Expressionism,Surrealism",Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Upstanding T 1944.jpg,painting,1944
The Vine 1944,Alexander Calder,sculpture,"Expressionism,Surrealism",Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Vine 1944.jpg,painting,1944
The Helices Double Helix 1944,Alexander Calder,sculpture,Expressionism,Bronze,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Helices Double Helix 1944.jpg,painting,1944
Vertical Constellation With Bomb 1943,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Vertical Constellation With Bomb 1943.jpg,painting,1943
Belt 1943,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Belt 1943.jpg,painting,1943
Tines 1943,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Tines 1943.jpg,painting,1943
The Big Ear 1943,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Big Ear 1943.jpg,painting,1943
Constellation 1943,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Constellation 1943.jpg,painting,1943
Car 1943,Alexander Calder,sculpture,Expressionism,Toys,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Car 1943.jpg,painting,1943
Dinner Bell 1942,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Dinner Bell 1942.jpg,painting,c.1942
Constellation 1942,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Constellation 1942.jpg,painting,1942
Toaster 1942,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Toaster 1942.jpg,painting,1942
Arc Of Petals 1941,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Arc Of Petals 1941.jpg,painting,1941
Boomerangs 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Boomerangs 1941.jpg,painting,1941
Vertical Foliage 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Vertical Foliage 1941.jpg,painting,1941
Un Effet Du Japonais 1941,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Un Effet Du Japonais 1941.jpg,painting,1941
Boomerangs 1941 0,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Boomerangs 1941 0.jpg,painting,1941
Myrtle Burl 1941,Alexander Calder,sculpture,Kinetic Art,Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Myrtle Burl 1941.jpg,painting,1941
Tree 1941,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Tree 1941.jpg,painting,1941
Bones Necklace 1940,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Bones Necklace 1940.jpg,painting,c.1940
