painting_name,author_name,Genre,Style,Theme,Period,Path,Field,Date
Little Arch Maquette 1940,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Little Arch Maquette 1940.jpg,painting,c.1940
Black Beast 1940,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Black Beast 1940.jpg,painting,1940
The Spider 1940,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/The Spider 1940.jpg,painting,1940
Little Spider 1940,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Little Spider 1940.jpg,painting,c.1940
Milk Skimmer 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Milk Skimmer 1940.jpg,painting,c.1940
Fork 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Fork 1940.jpg,painting,c.1940
Baby Carriage 1940,Alexander Calder,sculpture,Expressionism,Toys,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Baby Carriage 1940.jpg,painting,c.1940
Scissor Guard 1940,Alexander Calder,sculpture,Expressionism,Household Objects,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Scissor Guard 1940.jpg,painting,c.1940
Hollow Egg 1939,Alexander Calder,sculpture,Expressionism,Wire Sculpture,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Hollow Egg 1939.jpg,painting,1939
Lobster Trap And Fish Tail 1939,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Lobster Trap And Fish Tail 1939.jpg,painting,1939
Spiny Maquette 1939,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Spiny Maquette 1939.jpg,painting,c.1939
Four Leaves And Three Petals 1939,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Four Leaves And Three Petals 1939.jpg,painting,1939
Untitled Maquette 1939,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Untitled Maquette 1939.jpg,painting,1939
Brooch 1938,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Brooch 1938.jpg,painting,1938
Ring 1938,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Ring 1938.jpg,painting,c.1938
Flower Necklace 1938,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Flower Necklace 1938.jpg,painting,1938
Apple Monster 1938,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Apple Monster 1938.jpg,painting,1938
Devil Fish 1937,Alexander Calder,sculpture,"Abstract Art,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Devil Fish 1937.jpg,painting,1937
Harps And Heart 1937,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Harps And Heart 1937.jpg,painting,1937
Necklace 1937,Alexander Calder,sculpture,Expressionism,Jewelry,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Necklace 1937.jpg,painting,1937
Big Bird 1937,Alexander Calder,sculpture,"Expressionism,Surrealism",Stabile,PUBLIC COMMISSIONS AND THE WAR: 1937–1945,Artists2/Alexander Calder/Big Bird 1937.jpg,painting,1937
Gibraltar 1936,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Gibraltar 1936.jpg,painting,1936
Form Against Yellow Yellow Panel 1936,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Form Against Yellow Yellow Panel 1936.jpg,painting,1936
Brooch 1936,Alexander Calder,sculpture,Expressionism,Jewelry,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Brooch 1936.jpg,painting,1936
Babe Ruth 1936,Alexander Calder,sculpture,Expressionism,Wire Sculpture,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Babe Ruth 1936.jpg,painting,c.1936
The Orange Panel 1936,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/The Orange Panel 1936.jpg,painting,1936
White Panel 1936,Alexander Calder,sculpture,Kinetic Art,Wall Sculpture,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/White Panel 1936.jpg,painting,1936
Elephant 1936,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Elephant 1936.jpg,painting,1936
Machine Motorisee 1933,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Machine Motorisee 1933.jpg,painting,1933
Cone Debene 1933,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Cone Debene 1933.jpg,painting,1933
Dancing Torpedo Shape 1932,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Dancing Torpedo Shape 1932.jpg,painting,1932
Crank Driven Mobile 1932,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Hanging Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Crank Driven Mobile 1932.jpg,painting,1931 - 1932
Mobile 1932,Alexander Calder,sculpture,"Kinetic Art,Expressionism",Hanging Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Mobile 1932.jpg,painting,1932
Untitled 1932 2,Alexander Calder,sculpture,Kinetic Art,Hanging Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1932 2.jpg,painting,1932
Calder S Circus 1931,Alexander Calder,sculpture,"Expressionism,Kinetic Art",Standing Mobile,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Calder S Circus 1931.jpg,painting,1926 - 1931
Object With Red Ball 1931,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Object With Red Ball 1931.jpg,painting,1931
Croisiere 1931,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Croisiere 1931.jpg,painting,1931
Small Feathers 1931,Alexander Calder,sculpture,Kinetic Art,Standing Mobile,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Small Feathers 1931.jpg,painting,1931
Bracelet 1930,Alexander Calder,sculpture,Expressionism,Jewelry,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Bracelet 1930.jpg,painting,1930
Necklace 1930 0,Alexander Calder,sculpture,Expressionism,Jewelry,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Necklace 1930 0.jpg,painting,1930
Necklace 1930,Alexander Calder,sculpture,Expressionism,Jewelry,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Necklace 1930.jpg,painting,1930
Medusa 1930,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Medusa 1930.jpg,painting,1930
Aztec Josephine Baker 1930,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Aztec Josephine Baker 1930.jpg,painting,1930
Untitled 1930 2,Alexander Calder,sculpture,Abstract Art,Oil Painting,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1930 2.jpg,painting,1930
Untitled 1930 1,Alexander Calder,sculpture,Abstract Art,Oil Painting,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1930 1.jpg,painting,1930
Untitled 1930 0,Alexander Calder,sculpture,Abstract Art,Oil Painting,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1930 0.jpg,painting,1930
Untitled 1930,Alexander Calder,sculpture,Abstract Art,Oil Painting,SHIFT TO ABSTRACTION: 1930–1936,Artists2/Alexander Calder/Untitled 1930.jpg,painting,1930
Portrait Of A Man 1929,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Portrait Of A Man 1929.jpg,painting,1929
Goldfish Bowl 1929,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Goldfish Bowl 1929.jpg,painting,1929
Circus Scene 1929,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Circus Scene 1929.jpg,painting,1929
Lioness 1929,Alexander Calder,sculpture,Expressionism,Carved Figures,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Lioness 1929.jpg,painting,1929
Spring 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Spring 1928.jpg,painting,1928
Romulus And Remus 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Romulus And Remus 1928.jpg,painting,1928
Elephant 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Elephant 1928.jpg,painting,1928
Rearing Stallion 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Rearing Stallion 1928.jpg,painting,1928
Helen Wills Ii 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Helen Wills Ii 1928.jpg,painting,1928
Horse 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Horse 1928.jpg,painting,1928
Hercules And Lion 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Hercules And Lion 1928.jpg,painting,1928
Frank Crowninshield 1928,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Frank Crowninshield 1928.jpg,painting,1928
Josephine Baker Iii 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Josephine Baker Iii 1927.jpg,painting,c.1927
Helen Wills 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Helen Wills 1927.jpg,painting,1927
Elephant Puzzle 1927,Alexander Calder,sculpture,Expressionism,Toys,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Elephant Puzzle 1927.jpg,painting,1927
Mule 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Mule 1927.jpg,painting,1927
Josephine Baker Ii 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Josephine Baker Ii 1927.jpg,painting,1927
Elephant 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Elephant 1927.jpg,painting,1927
Acrobats 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Acrobats 1927.jpg,painting,1927
Ball Player 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Ball Player 1927.jpg,painting,1927
Sea Gull 1927,Alexander Calder,sculpture,Expressionism,Wire Sculpture,WIRE SCULPTURE AND THE CIRCUS: 1926–1930,Artists2/Alexander Calder/Sea Gull 1927.jpg,painting,1927
St Regis Restaurant 1925,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/St Regis Restaurant 1925.jpg,painting,1925
Fourteenth Street 1925,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Fourteenth Street 1925.jpg,painting,1925
Old Madison Square Garden And Democrats 1924,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Old Madison Square Garden And Democrats 1924.jpg,painting,1924
Untitled Excavation 1924,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Untitled Excavation 1924.jpg,painting,c.1924
Untitled Logging Scene 1922,Alexander Calder,sculpture,American Realism,Oil Painting,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Untitled Logging Scene 1922.jpg,painting,1922
Dog 1909,Alexander Calder,sculpture,Expressionism,Toys,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Dog 1909.jpg,painting,1909
Duck 1909,Alexander Calder,sculpture,Expressionism,Toys,EARLY DEVELOPMENT: 1898–1925,Artists2/Alexander Calder/Duck 1909.jpg,painting,1909
Cubist Still Life With Revue Magazine,Kmetty Janos,"self-portrait,landscape",Cubism,Still Life,Cubism,Artists2/Kmetty Janos/Cubist Still Life With Revue Magazine.jpg,painting,c.1930
The City Park,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/The City Park.jpg,painting, c.;  Hungary 
The Building Of The Summer Casino In Kecskemet,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/The Building Of The Summer Casino In Kecskemet.jpg,painting, c.; Hungary 
Cubist Landscape The City Park,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/Cubist Landscape The City Park.jpg,painting, c.; Hungary 
Park Detail With Trees,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/Park Detail With Trees.jpg,painting,1912
The City Park 1,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/The City Park 1.jpg,painting,c.1912
Landscape,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/Landscape.jpg,painting,1932
Still Life On Table,Kmetty Janos,"self-portrait,landscape",Cubism,Still Life,Cubism,Artists2/Kmetty Janos/Still Life On Table.jpg,painting,c.1910
Street Of Nagybanya,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/Street Of Nagybanya.jpg,painting,1929
View Of Szentendre 1912 45 60 Cm,Kmetty Janos,"self-portrait,landscape",Analytical Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/View Of Szentendre 1912 45 60 Cm.jpg,painting,1912
Artist Colony,Kmetty Janos,"self-portrait,landscape",Analytical Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/Artist Colony.jpg,painting,1912
Self Portrait With Yellow Hat 1965,Kmetty Janos,"self-portrait,landscape",Cubism,Self-Portrait,Cubism,Artists2/Kmetty Janos/Self Portrait With Yellow Hat 1965.jpg,painting,1965
Side Table With Mirror 1951,Kmetty Janos,"self-portrait,landscape","Impressionism,Cubism",Still Life,Cubism,Artists2/Kmetty Janos/Side Table With Mirror 1951.jpg,painting,1951
In The Park 1940,Kmetty Janos,"self-portrait,landscape",Analytical Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/In The Park 1940.jpg,painting,c.1930 - c.1940
View Of Nagybanya 1932,Kmetty Janos,"self-portrait,landscape",Cubism,Landscapes,Cubism,Artists2/Kmetty Janos/View Of Nagybanya 1932.jpg,painting,1932
Still Life 1930,Kmetty Janos,"self-portrait,landscape",Cubism,Still Life,Cubism,Artists2/Kmetty Janos/Still Life 1930.jpg,painting,1930
Self Portrait 1914,Kmetty Janos,"self-portrait,landscape",Cubism,Self-Portrait,Cubism,Artists2/Kmetty Janos/Self Portrait 1914.jpg,painting,1914
Blue Self Portrait 1913,Kmetty Janos,"self-portrait,landscape",Cubism,Self-Portrait,Cubism,Artists2/Kmetty Janos/Blue Self Portrait 1913.jpg,painting, ; Hungary 
Harlequin Leaning 1909,Pablo Picasso,portrait,Analytical Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin Leaning 1909.jpg,painting,1909
Harlequinesque Personage 1913,Pablo Picasso,genre painting,Analytical Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequinesque Personage 1913.jpg,painting,1913
Harlequin 1918,Pablo Picasso,portrait,Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin 1918.jpg,painting,1918
Harlequin And Woman With Necklace 1917,Pablo Picasso,portrait,Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin And Woman With Necklace 1917.jpg,painting,1917
Seated Harlequin Jacinto Salvado 1923,Pablo Picasso,portrait,Post-Impressionism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Seated Harlequin Jacinto Salvado 1923.jpg,painting,1923
Blind Minotaur Is Guided By Girl 1934 2,Pablo Picasso,mythological painting,Surrealism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Blind Minotaur Is Guided By Girl 1934 2.jpg,painting,1934
Blind Minotaur Is Guided By Girl Through The Night 1934,Pablo Picasso,mythological painting,"Neoclassicism,Surrealism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Blind Minotaur Is Guided By Girl Through The Night 1934.jpg,painting,1934
Blind Minotaur Is Guided By Girl 1934 1,Pablo Picasso,mythological painting,Surrealism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Blind Minotaur Is Guided By Girl 1934 1.jpg,painting,1934
Blind Minotaur Is Guided By Girl 1934,Pablo Picasso,mythological painting,Surrealism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Blind Minotaur Is Guided By Girl 1934.jpg,painting,1934
Minotaur Is Wounded 1937,Pablo Picasso,mythological painting,"Expressionism,Surrealism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Minotaur Is Wounded 1937.jpg,painting,1937
The Remains Of Minotaur In A Harlequin Costume 1936,Pablo Picasso,symbolic painting,"Neoclassicism,Surrealism",Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/The Remains Of Minotaur In A Harlequin Costume 1936.jpg,painting,1936
Minotaur With Dead Horse In Front Of A Cave Facing A Girl In Veil 1936,Pablo Picasso,mythological painting,"Expressionism,Surrealism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Minotaur With Dead Horse In Front Of A Cave Facing A Girl In Veil 1936.jpg,painting,1936
The Minotauromachie 1935,Pablo Picasso,mythological painting,"Neoclassicism,Surrealism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/The Minotauromachie 1935.jpg,painting,1935
Model For The Cover Of Minotaur 1933,Pablo Picasso,design,"Cubism,Surrealism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Model For The Cover Of Minotaur 1933.jpg,painting,1933
Minotaur Is Wounded 1933 1,Pablo Picasso,mythological painting,Expressionism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Minotaur Is Wounded 1933 1.jpg,painting,1933
Minotaur Is Wounded 1933,Pablo Picasso,mythological painting,"Expressionism,Neoclassicism",Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Minotaur Is Wounded 1933.jpg,painting, ;  France 
Minotaur Is Dying 1933,Pablo Picasso,mythological painting,Expressionism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Minotaur Is Dying 1933.jpg,painting,1933
Marie Therese As Vestal Ensuring The Minotaur Asleep 1933,Pablo Picasso,genre painting,Neoclassicism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Marie Therese As Vestal Ensuring The Minotaur Asleep 1933.jpg,painting,1933
Bacchic Scene With Minotaur 1933,Pablo Picasso,genre painting,Neoclassicism,Minotaur,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Bacchic Scene With Minotaur 1933.jpg,painting,1933
Paul As Harlequin 1924,Pablo Picasso,portrait,Neoclassicism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Paul As Harlequin 1924.jpg,painting,1924
Harlequin With His Hands Crossed Jacinto Salvado 1923,Pablo Picasso,portrait,Post-Impressionism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Harlequin With His Hands Crossed Jacinto Salvado 1923.jpg,painting,1923
Musicians With Masks 1921 1,Pablo Picasso,genre painting,Cubism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Musicians With Masks 1921 1.jpg,painting,1921
Musicians With Masks 1921,Pablo Picasso,genre painting,Cubism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Musicians With Masks 1921.jpg,painting,1921
Pierrot And Harlequin On The Terrace Of Café 1920,Pablo Picasso,genre painting,Cubism,Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Pierrot And Harlequin On The Terrace Of Café 1920.jpg,painting,1920
Pierrot And Harlequin 1920,Pablo Picasso,genre painting,"Art Nouveau (Modern),Cubism",Harlequin,Neoclassicist & Surrealist Period,Artists2/Pablo Picasso/Pierrot And Harlequin 1920.jpg,painting,1920
Harlequin With Guitar 1918,Pablo Picasso,genre painting,Expressionism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin With Guitar 1918.jpg,painting,1918
Barselona Harlequin 1917,Pablo Picasso,portrait,Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Barselona Harlequin 1917.jpg,painting,1917
Harlequin With Guitar 1916,Pablo Picasso,genre painting,Impressionism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin With Guitar 1916.jpg,painting,1916
Harlequin 1915,Pablo Picasso,genre painting,Synthetic Cubism,Harlequin,Cubist Period,Artists2/Pablo Picasso/Harlequin 1915.jpg,painting,1915
Harlequin S Family 1908,Pablo Picasso,genre painting,Analytical Cubism,Harlequin,African Period,Artists2/Pablo Picasso/Harlequin S Family 1908.jpg,painting,1908
Harlequin S Death 1906,Pablo Picasso,genre painting,"Expressionism,Symbolism",Harlequin,Rose Period,Artists2/Pablo Picasso/Harlequin S Death 1906.jpg,painting,1906
Seated Harlequin,Pablo Picasso,portrait,Post-Impressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Seated Harlequin.jpg,painting,1905
Harlequin S Head 1905,Pablo Picasso,portrait,Post-Impressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Harlequin S Head 1905.jpg,painting,1905
Harlequin S Family 1905 1,Pablo Picasso,genre painting,Expressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Harlequin S Family 1905 1.jpg,painting,1905
Harlequin S Family 1905,Pablo Picasso,genre painting,Expressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Harlequin S Family 1905.jpg,painting,1905
Harlequin On The Horseback 1905,Pablo Picasso,genre painting,Post-Impressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Harlequin On The Horseback 1905.jpg,painting,1905
At Lapin Agile Harlequin With Glass 1905,Pablo Picasso,genre painting,Post-Impressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/At Lapin Agile Harlequin With Glass 1905.jpg,painting,1905
Acrobat And Young Harlequin 1905,Pablo Picasso,genre painting,Post-Impressionism,Harlequin,Rose Period,Artists2/Pablo Picasso/Acrobat And Young Harlequin 1905.jpg,painting,1905
Two Acrobats Harlequin And His Companion 1901,Pablo Picasso,portrait,Expressionism,Harlequin,Blue Period,Artists2/Pablo Picasso/Two Acrobats Harlequin And His Companion 1901.jpg,painting,1901
Harlequin Leaning 1901,Pablo Picasso,portrait,Post-Impressionism,Harlequin,Blue Period,Artists2/Pablo Picasso/Harlequin Leaning 1901.jpg,painting,1901
